,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
0,1,2,41,2.0,10.0,2.0,1.0,1.0,1.0,1,7,U,1,3,1,1000231
1,1,1,46,2.0,6.0,3.0,2.0,1.0,1.0,1,7,U,1,3,1,1000232
7,1,2,50,2.0,8.0,4.0,1.0,1.0,1.0,1,7,U,1,3,1,1000233
17,5,1,30,2.0,8.0,4.0,1.0,1.0,1.0,1,7,U,1,3,1,1000234
18,1,1,71,2.0,8.0,5.0,2.0,2.0,1.0,1,7,U,1,3,1,1000235
22,2,2,41,2.0,3.0,3.0,2.0,2.0,2.0,2,6,U,1,2,1,1000291
27,3,2,47,2.0,3.0,3.0,1.0,1.0,1.0,2,6,U,1,2,1,1000292
30,2,2,37,2.0,3.0,3.0,2.0,1.0,1.0,2,6,U,1,2,1,1000293
36,3,2,27,1.0,8.0,3.0,1.0,1.0,1.0,2,6,U,1,2,1,1000295
39,3,2,34,2.0,7.0,3.0,1.0,1.0,1.0,3,7,U,1,3,1,1000371
43,1,1,80,2.0,2.0,1.0,2.0,2.0,2.0,3,7,U,1,3,1,1000372
46,3,2,24,2.0,8.0,4.0,1.0,1.0,1.0,3,7,U,1,3,1,1000373
53,1,1,55,2.0,8.0,4.0,2.0,1.0,1.0,3,7,U,1,3,1,1000374
59,1,2,58,2.0,2.0,6.0,2.0,1.0,1.0,4,7,U,1,3,1,1000381
61,4,2,26,1.0,8.0,2.0,1.0,1.0,1.0,4,7,U,1,3,1,1000382
63,3,2,50,2.0,8.0,4.0,1.0,1.0,1.0,4,7,U,1,3,1,1000383
64,1,1,37,2.0,3.0,3.0,2.0,1.0,1.0,4,7,U,1,3,1,1000384
68,1,2,45,2.0,10.0,2.0,1.0,1.0,1.0,4,7,U,1,3,1,1000385
72,1,1,51,2.0,8.0,5.0,1.0,1.0,1.0,5,7,U,1,3,1,1000443
77,1,2,81,2.0,2.0,6.0,2.0,2.0,2.0,5,7,U,1,3,1,1000445
79,2,2,48,2.0,10.0,3.0,1.0,1.0,1.0,6,7,U,1,3,1,1000561
81,1,2,49,2.0,8.0,4.0,1.0,1.0,1.0,6,7,U,1,3,1,1000562
83,1,1,63,2.0,8.0,5.0,1.0,1.0,1.0,6,7,U,1,3,1,1000563
87,1,1,96,2.0,5.0,3.0,2.0,2.0,2.0,6,7,U,1,3,1,1000564
92,3,2,18,1.0,8.0,1.0,1.0,1.0,1.0,6,7,U,1,3,1,1000565
96,3,2,36,2.0,8.0,5.0,1.0,1.0,1.0,7,8,U,1,4,1,1000671
98,1,1,46,2.0,7.0,3.0,2.0,2.0,1.0,7,8,U,1,4,1,1000672
105,2,2,60,2.0,8.0,5.0,2.0,1.0,1.0,7,8,U,1,4,1,1000673
107,1,1,31,2.0,8.0,2.0,1.0,1.0,1.0,7,8,U,1,4,1,1000674
109,2,2,67,2.0,5.0,3.0,2.0,1.0,1.0,7,8,U,1,4,1,1000675
111,3,2,22,1.0,8.0,3.0,1.0,1.0,1.0,8,6,U,1,2,1,1000701
113,1,1,37,2.0,6.0,3.0,1.0,1.0,1.0,8,6,U,1,2,1,1000702
118,2,2,37,2.0,6.0,3.0,2.0,2.0,1.0,8,6,U,1,2,1,1000703
121,1,1,36,2.0,6.0,3.0,1.0,1.0,1.0,8,6,U,1,2,1,1000704
126,2,2,56,2.0,8.0,2.0,1.0,1.0,1.0,8,6,U,1,2,1,1000705
129,1,2,52,2.0,3.0,1.0,2.0,1.0,1.0,9,7,U,1,3,1,1000751
134,3,2,46,2.0,3.0,3.0,1.0,1.0,1.0,9,7,U,1,3,1,1000753
142,1,2,78,2.0,2.0,6.0,2.0,2.0,1.0,9,7,U,1,3,1,1000754
143,1,1,38,2.0,3.0,3.0,2.0,1.0,1.0,9,7,U,1,3,1,1000755
147,1,2,81,2.0,2.0,6.0,2.0,2.0,1.0,10,6,U,1,2,1,1000781
150,3,2,41,2.0,8.0,4.0,1.0,1.0,1.0,10,6,U,1,2,1,1000782
154,1,1,61,2.0,2.0,3.0,2.0,2.0,1.0,10,6,U,1,2,1,1000783
158,1,1,37,2.0,9.0,2.0,1.0,1.0,1.0,11,7,U,1,3,1,1000931
163,3,2,47,2.0,7.0,3.0,1.0,1.0,1.0,11,7,U,1,3,1,1000932
164,1,1,72,2.0,2.0,6.0,2.0,2.0,2.0,11,7,U,1,3,1,1000934
170,3,2,21,1.0,8.0,3.0,1.0,1.0,1.0,11,7,U,1,3,1,1000935
171,1,1,46,2.0,8.0,5.0,2.0,1.0,1.0,12,6,U,1,2,1,1000941
174,1,1,49,2.0,3.0,2.0,2.0,1.0,1.0,12,6,U,1,2,1,1000942
178,5,2,62,2.0,8.0,5.0,2.0,1.0,1.0,12,6,U,1,2,1,1000943
181,3,1,28,2.0,8.0,5.0,2.0,1.0,1.0,12,6,U,1,2,1,1000944
183,1,2,50,2.0,10.0,2.0,1.0,1.0,1.0,12,6,U,1,2,1,1000945
185,1,2,78,2.0,5.0,3.0,2.0,2.0,1.0,13,7,U,1,3,1,1000992
186,1,1,71,2.0,3.0,2.0,2.0,2.0,1.0,13,7,U,1,3,1,1000993
188,3,1,39,2.0,8.0,5.0,1.0,1.0,1.0,13,7,U,1,3,1,1000995
192,5,1,46,2.0,8.0,5.0,1.0,1.0,1.0,14,6,U,1,2,1,1001121
197,3,1,38,2.0,6.0,3.0,1.0,1.0,1.0,14,6,U,1,2,1,1001122
200,1,1,67,2.0,2.0,6.0,2.0,2.0,1.0,14,6,U,1,2,1,1001123
202,1,1,34,2.0,8.0,5.0,1.0,1.0,1.0,14,6,U,1,2,1,1001124
206,1,1,30,2.0,8.0,5.0,1.0,1.0,1.0,14,6,U,1,2,1,1001125
208,2,1,45,2.0,8.0,4.0,1.0,2.0,1.0,15,7,U,1,3,1,1001281
209,1,1,46,2.0,8.0,5.0,1.0,1.0,1.0,15,7,U,1,3,1,1001282
214,2,2,52,2.0,6.0,3.0,2.0,1.0,1.0,15,7,U,1,3,1,1001283
222,2,1,50,2.0,8.0,5.0,1.0,1.0,1.0,15,7,U,1,3,1,1001285
228,2,2,39,2.0,8.0,4.0,1.0,1.0,1.0,16,7,U,1,3,1,1001301
234,3,2,42,2.0,3.0,3.0,2.0,1.0,1.0,16,7,U,1,3,1,1001302
