,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
0,1,2,41,2.0,10.0,2.0,1.0,1.0,1.0,1,7,U,1,3,1,1000231
1,1,1,46,2.0,6.0,3.0,2.0,1.0,1.0,1,7,U,1,3,1,1000232
2,1,2,50,2.0,8.0,4.0,1.0,1.0,1.0,1,7,U,1,3,1,1000233
3,1,1,56,2.0,2.0,6.0,2.0,1.0,1.0,1,7,U,1,3,1,1000234
4,1,1,71,2.0,8.0,5.0,2.0,2.0,1.0,1,7,U,1,3,1,1000235
5,1,1,42,2.0,2.0,6.0,2.0,1.0,1.0,2,6,U,1,2,1,1000291
6,1,1,85,2.0,2.0,6.0,1.0,1.0,1.0,2,6,U,1,2,1,1000292
7,1,1,57,2.0,2.0,6.0,2.0,2.0,2.0,2,6,U,1,2,1,1000293
8,1,1,58,2.0,3.0,3.0,2.0,2.0,1.0,2,6,U,1,2,1,1000295
9,1,1,61,2.0,2.0,6.0,1.0,1.0,1.0,3,7,U,1,3,1,1000371
10,1,1,80,2.0,2.0,1.0,2.0,2.0,2.0,3,7,U,1,3,1,1000372
11,1,2,60,2.0,2.0,6.0,2.0,1.0,1.0,3,7,U,1,3,1,1000373
12,1,2,50,2.0,0.0,0.0,2.0,2.0,1.0,3,7,U,1,3,1,1000373
13,1,1,55,2.0,8.0,4.0,2.0,1.0,1.0,3,7,U,1,3,1,1000374
14,1,2,58,2.0,2.0,6.0,2.0,1.0,1.0,4,7,U,1,3,1,1000381
15,1,2,71,2.0,2.0,6.0,2.0,1.0,1.0,4,7,U,1,3,1,1000382
16,1,2,75,2.0,3.0,2.0,2.0,2.0,1.0,4,7,U,1,3,1,1000383
17,1,1,37,2.0,3.0,3.0,2.0,1.0,1.0,4,7,U,1,3,1,1000384
18,1,2,45,2.0,10.0,2.0,1.0,1.0,1.0,4,7,U,1,3,1,1000385
19,1,1,51,2.0,8.0,5.0,1.0,1.0,1.0,5,7,U,1,3,1,1000443
20,1,2,81,2.0,2.0,6.0,2.0,2.0,2.0,5,7,U,1,3,1,1000445
21,1,1,56,2.0,8.0,5.0,1.0,1.0,1.0,6,7,U,1,3,1,1000561
22,1,2,49,2.0,8.0,4.0,1.0,1.0,1.0,6,7,U,1,3,1,1000562
23,1,1,63,2.0,8.0,5.0,1.0,1.0,1.0,6,7,U,1,3,1,1000563
24,1,1,96,2.0,5.0,3.0,2.0,2.0,2.0,6,7,U,1,3,1,1000564
25,1,1,44,2.0,3.0,3.0,2.0,1.0,1.0,6,7,U,1,3,1,1000565
26,1,1,61,2.0,7.0,2.0,1.0,1.0,1.0,7,8,U,1,4,1,1000671
27,1,1,46,2.0,7.0,3.0,2.0,2.0,1.0,7,8,U,1,4,1,1000672
28,1,1,60,2.0,2.0,6.0,2.0,1.0,1.0,7,8,U,1,4,1,1000673
29,1,1,31,2.0,8.0,2.0,1.0,1.0,1.0,7,8,U,1,4,1,1000674
30,1,1,66,2.0,3.0,3.0,2.0,1.0,1.0,7,8,U,1,4,1,1000675
31,1,2,48,2.0,6.0,3.0,1.0,1.0,1.0,8,6,U,1,2,1,1000701
32,1,1,37,2.0,6.0,3.0,1.0,1.0,1.0,8,6,U,1,2,1,1000702
33,1,1,50,2.0,3.0,3.0,2.0,2.0,1.0,8,6,U,1,2,1,1000703
34,1,1,36,2.0,6.0,3.0,1.0,1.0,1.0,8,6,U,1,2,1,1000704
35,1,1,71,2.0,3.0,3.0,2.0,1.0,1.0,8,6,U,1,2,1,1000705
36,1,2,52,2.0,3.0,1.0,2.0,1.0,1.0,9,7,U,1,3,1,1000751
37,1,1,78,2.0,2.0,2.0,1.0,1.0,1.0,9,7,U,1,3,1,1000753
38,1,2,78,2.0,2.0,6.0,2.0,2.0,1.0,9,7,U,1,3,1,1000754
39,1,1,38,2.0,3.0,3.0,2.0,1.0,1.0,9,7,U,1,3,1,1000755
40,1,2,81,2.0,2.0,6.0,2.0,2.0,1.0,10,6,U,1,2,1,1000781
41,1,2,71,2.0,2.0,4.0,1.0,1.0,1.0,10,6,U,1,2,1,1000782
42,1,1,61,2.0,2.0,3.0,2.0,2.0,1.0,10,6,U,1,2,1,1000783
43,1,1,37,2.0,9.0,2.0,1.0,1.0,1.0,11,7,U,1,3,1,1000931
44,1,2,75,2.0,5.0,3.0,2.0,1.0,2.0,11,7,U,1,3,1,1000932
45,1,1,72,2.0,2.0,6.0,2.0,2.0,2.0,11,7,U,1,3,1,1000934
46,1,1,49,2.0,3.0,3.0,2.0,1.0,1.0,11,7,U,1,3,1,1000935
47,1,1,46,2.0,8.0,5.0,2.0,1.0,1.0,12,6,U,1,2,1,1000941
48,1,1,49,2.0,3.0,2.0,2.0,1.0,1.0,12,6,U,1,2,1,1000942
49,1,2,60,2.0,3.0,3.0,2.0,1.0,1.0,12,6,U,1,2,1,1000943
50,1,1,57,2.0,7.0,2.0,2.0,1.0,1.0,12,6,U,1,2,1,1000944
51,1,2,50,2.0,10.0,2.0,1.0,1.0,1.0,12,6,U,1,2,1,1000945
52,1,2,78,2.0,5.0,3.0,2.0,2.0,1.0,13,7,U,1,3,1,1000992
53,1,1,71,2.0,3.0,2.0,2.0,2.0,1.0,13,7,U,1,3,1,1000993
54,1,2,72,2.0,2.0,6.0,2.0,2.0,2.0,13,7,U,1,3,1,1000995
55,1,2,65,2.0,2.0,6.0,2.0,2.0,2.0,14,6,U,1,2,1,1001121
56,1,1,65,2.0,2.0,6.0,2.0,2.0,2.0,14,6,U,1,2,1,1001122
57,1,1,67,2.0,2.0,6.0,2.0,2.0,1.0,14,6,U,1,2,1,1001123
58,1,1,34,2.0,8.0,5.0,1.0,1.0,1.0,14,6,U,1,2,1,1001124
59,1,1,30,2.0,8.0,5.0,1.0,1.0,1.0,14,6,U,1,2,1,1001125
60,1,2,45,2.0,3.0,3.0,2.0,2.0,2.0,15,7,U,1,3,1,1001281
61,1,1,46,2.0,8.0,5.0,1.0,1.0,1.0,15,7,U,1,3,1,1001282
62,1,1,53,2.0,3.0,3.0,2.0,2.0,2.0,15,7,U,1,3,1,1001283
63,1,2,50,2.0,3.0,3.0,1.0,1.0,1.0,15,7,U,1,3,1,1001285
64,1,1,44,2.0,3.0,3.0,2.0,1.0,1.0,16,7,U,1,3,1,1001301
