UPM,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,P2_3,FAC_VIV,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT
0100023,01,3,1,1,1,1,1,1,1,1,,174,00001,007,U,1,3,01
0100023,02,3,1,1,1,1,1,1,6,1,,174,00001,007,U,1,3,01
0100023,03,3,1,1,1,1,1,1,2,1,,174,00001,007,U,1,3,01
0100023,04,3,1,1,1,1,1,2,9,1,,174,00001,007,U,1,3,01
0100023,05,3,1,1,1,1,1,2,3,1,,174,00001,007,U,1,3,01
0100029,01,3,1,1,1,1,1,2,5,1,,222,00002,006,U,1,2,01
0100029,02,3,1,1,1,1,1,1,3,1,,222,00002,006,U,1,2,01
0100029,03,2,1,1,1,2,2,2,5,1,,222,00002,006,U,1,2,01
0100029,05,3,1,1,1,1,1,1,3,1,,222,00002,006,U,1,2,01
0100037,01,3,1,1,1,1,1,2,6,1,,169,00003,007,U,1,3,01
0100037,02,3,1,1,1,1,1,1,2,1,,169,00003,007,U,1,3,01
0100037,03,3,1,1,1,1,1,1,8,2,2,169,00003,007,U,1,3,01
0100037,04,3,1,1,1,1,1,1,6,1,,169,00003,007,U,1,3,01
0100038,01,2,1,1,1,2,2,1,1,1,,149,00004,007,U,1,3,01
0100038,02,3,1,1,1,1,1,2,2,1,,149,00004,007,U,1,3,01
0100038,03,2,1,1,1,1,1,2,2,1,,149,00004,007,U,1,3,01
0100038,04,2,1,1,1,1,1,1,4,1,,149,00004,007,U,1,3,01
0100038,05,3,1,1,1,1,1,1,4,1,,149,00004,007,U,1,3,01
0100044,03,3,1,1,1,1,1,1,5,1,,165,00005,007,U,1,3,01
0100044,05,3,1,1,1,1,1,2,1,1,,165,00005,007,U,1,3,01
0100056,01,2,1,1,1,1,1,1,3,1,,125,00006,007,U,1,3,01
0100056,02,3,1,1,1,1,1,1,2,1,,125,00006,007,U,1,3,01
0100056,03,3,1,1,1,1,1,1,4,1,,125,00006,007,U,1,3,01
0100056,04,3,1,1,1,1,1,2,2,1,,125,00006,007,U,1,3,01
0100056,05,3,1,1,1,1,1,2,5,1,,125,00006,007,U,1,3,01
0100067,01,3,1,1,1,1,1,1,4,1,,229,00007,008,U,1,4,01
0100067,02,3,1,1,1,1,1,1,6,1,,229,00007,008,U,1,4,01
0100067,03,3,1,1,1,1,1,1,3,1,,229,00007,008,U,1,4,01
0100067,04,3,1,1,1,1,1,1,1,1,,229,00007,008,U,1,4,01
0100067,05,3,1,1,1,1,1,1,2,1,,229,00007,008,U,1,4,01
0100070,01,3,1,1,1,1,1,1,3,1,,173,00008,006,U,1,2,01
0100070,02,3,1,1,1,1,1,1,4,1,,173,00008,006,U,1,2,01
0100070,03,3,1,1,1,1,1,1,4,1,,173,00008,006,U,1,2,01
0100070,04,3,1,1,1,1,1,1,4,1,,173,00008,006,U,1,2,01
0100070,05,3,1,1,1,1,1,1,4,1,,173,00008,006,U,1,2,01
0100075,01,3,1,1,1,1,1,2,4,1,,192,00009,007,U,1,3,01
0100075,03,3,1,1,1,1,1,2,9,1,,192,00009,007,U,1,3,01
0100075,04,3,1,1,1,1,1,2,1,1,,192,00009,007,U,1,3,01
0100075,05,2,1,1,1,1,1,1,4,1,,192,00009,007,U,1,3,01
0100078,01,3,1,1,1,1,1,2,1,1,,196,00010,006,U,1,2,01
0100078,02,3,1,1,1,1,1,2,6,1,,196,00010,006,U,1,2,01
0100078,03,2,1,1,1,2,2,2,4,1,,196,00010,006,U,1,2,01
0100093,01,3,1,1,1,1,1,1,4,1,,163,00011,007,U,1,3,01
0100093,02,3,1,1,1,1,1,1,2,1,,163,00011,007,U,1,3,01
0100093,04,3,1,1,1,1,1,1,2,1,,163,00011,007,U,1,3,01
0100093,05,3,1,1,1,1,1,2,5,1,,163,00011,007,U,1,3,01
0100094,01,3,1,1,1,1,1,2,3,1,,198,00012,006,U,1,2,01
0100094,02,3,1,1,1,1,1,2,2,1,,198,00012,006,U,1,2,01
0100094,03,3,1,1,1,1,2,1,3,1,,198,00012,006,U,1,2,01
0100094,04,3,1,1,1,1,1,1,4,1,,198,00012,006,U,1,2,01
0100094,05,2,1,1,1,1,1,1,2,1,,198,00012,006,U,1,2,01
0100099,02,2,1,1,1,1,1,2,1,1,,173,00013,007,U,1,3,01
0100099,03,3,1,1,1,2,2,2,1,1,,173,00013,007,U,1,3,01
0100099,05,3,1,1,1,1,1,1,3,1,,173,00013,007,U,1,3,01
0100112,01,3,1,1,1,1,1,1,4,1,,175,00014,006,U,1,2,01
0100112,02,3,1,1,1,1,1,2,6,1,,175,00014,006,U,1,2,01
0100112,03,3,1,1,1,1,1,2,2,1,,175,00014,006,U,1,2,01
0100112,04,3,1,1,1,1,1,1,4,1,,175,00014,006,U,1,2,01
0100112,05,3,1,1,1,1,1,1,1,1,,175,00014,006,U,1,2,01
0100128,01,2,2,1,1,2,2,2,2,1,,160,00015,007,U,1,3,01
0100128,02,3,1,1,1,1,1,1,4,1,,160,00015,007,U,1,3,01
0100128,03,3,1,1,1,1,1,2,8,1,,160,00015,007,U,1,3,01
0100128,05,3,1,1,1,1,1,1,6,1,,160,00015,007,U,1,3,01
0100130,01,3,1,1,1,1,1,1,5,1,,144,00016,007,U,1,3,01
0100130,02,3,1,1,1,1,1,1,3,1,,144,00016,007,U,1,3,01
0100130,03,3,1,1,1,1,1,1,3,1,,144,00016,007,U,1,3,01
0100130,04,3,1,1,1,1,1,1,3,1,,144,00016,007,U,1,3,01
0100130,05,3,1,1,1,1,1,2,2,1,,144,00016,007,U,1,3,01
0100148,01,3,1,1,1,1,1,2,1,1,,178,00017,007,U,1,3,01
0100148,02,3,1,1,1,1,2,1,3,1,,178,00017,007,U,1,3,01
0100148,03,3,1,1,1,1,1,2,2,1,,178,00017,007,U,1,3,01
0100148,04,3,1,1,1,1,1,2,3,1,,178,00017,007,U,1,3,01
0100152,01,3,1,1,1,1,1,1,3,1,,136,00018,007,U,1,3,01
0100152,02,3,1,1,1,1,1,1,4,1,,136,00018,007,U,1,3,01
0100152,03,3,1,1,1,1,1,1,1,1,,136,00018,007,U,1,3,01
0100152,04,3,1,1,1,1,1,1,2,1,,136,00018,007,U,1,3,01
0100152,05,3,1,1,1,1,1,1,3,1,,136,00018,007,U,1,3,01
0100161,02,3,1,1,1,1,1,2,1,1,,187,00019,007,U,1,3,01
0100161,03,3,1,1,1,1,1,2,2,1,,187,00019,007,U,1,3,01
0100161,04,3,1,1,1,1,1,1,6,1,,187,00019,007,U,1,3,01
0100162,01,2,1,1,1,1,1,2,2,1,,145,00020,007,U,1,3,01
0100162,02,3,1,1,1,1,1,1,5,1,,145,00020,007,U,1,3,01
0100162,03,3,1,1,1,1,1,2,5,1,,145,00020,007,U,1,3,01
0100162,04,3,1,1,1,1,1,2,4,1,,145,00020,007,U,1,3,01
0100162,05,3,1,1,1,1,1,1,2,1,,145,00020,007,U,1,3,01
0100171,01,3,1,1,1,1,1,2,2,1,,102,00021,007,U,1,3,01
0100171,02,3,1,1,1,1,1,1,3,1,,102,00021,007,U,1,3,01
0100171,03,3,1,1,1,1,1,1,4,1,,102,00021,007,U,1,3,01
0100171,04,3,1,1,1,1,2,2,2,2,2,102,00021,007,U,1,3,01
0100171,05,3,1,1,1,1,1,1,2,1,,102,00021,007,U,1,3,01
0100175,01,3,1,1,1,1,1,1,5,1,,210,00022,006,U,1,2,01
0100175,02,3,1,1,1,1,1,2,4,1,,210,00022,006,U,1,2,01
0100175,03,3,1,1,1,1,1,2,2,1,,210,00022,006,U,1,2,01
0100175,04,3,1,1,1,1,1,2,2,1,,210,00022,006,U,1,2,01
0100180,01,3,1,1,1,1,1,2,2,1,,166,00023,007,U,1,3,01
0100180,02,3,1,1,1,1,1,1,5,2,2,166,00023,007,U,1,3,01
0100180,03,3,1,1,1,1,1,1,4,2,2,166,00023,007,U,1,3,01
0100180,04,3,1,1,1,1,1,1,5,1,,166,00023,007,U,1,3,01
0100180,05,3,1,1,1,1,2,1,2,1,,166,00023,007,U,1,3,01
0100183,01,3,1,1,1,1,2,2,1,1,,163,00024,007,U,1,3,01
0100183,02,3,1,1,1,1,1,1,5,1,,163,00024,007,U,1,3,01
0100183,03,3,1,1,1,1,1,2,3,1,,163,00024,007,U,1,3,01
0100183,04,3,1,1,1,1,1,1,4,1,,163,00024,007,U,1,3,01
0100183,05,3,1,1,1,1,1,1,3,1,,163,00024,007,U,1,3,01
0100186,01,3,1,1,1,1,1,1,5,1,,171,00025,007,U,1,3,01
0100186,02,3,1,1,1,1,1,1,2,1,,171,00025,007,U,1,3,01
0100186,03,3,1,1,1,1,1,1,5,1,,171,00025,007,U,1,3,01
0100186,04,3,1,1,1,1,1,1,6,1,,171,00025,007,U,1,3,01
0100186,05,3,1,1,1,1,1,1,4,1,,171,00025,007,U,1,3,01
0100191,01,2,1,1,1,1,2,1,7,1,,183,00026,007,U,1,3,01
0100191,02,3,1,1,1,1,1,1,4,1,,183,00026,007,U,1,3,01
0100191,05,3,1,1,1,1,1,2,2,1,,183,00026,007,U,1,3,01
0100209,01,3,1,1,1,1,1,1,4,1,,144,00027,007,U,1,3,01
0100209,02,3,1,1,1,1,1,2,2,1,,144,00027,007,U,1,3,01
0100209,04,2,1,1,1,1,1,1,3,1,,144,00027,007,U,1,3,01
0100209,05,3,1,1,1,1,1,2,1,1,,144,00027,007,U,1,3,01
0100215,01,3,1,1,1,1,1,1,3,1,,208,00028,007,U,1,3,01
0100215,02,3,1,1,1,1,1,2,4,1,,208,00028,007,U,1,3,01
0100215,03,3,1,1,1,1,2,2,4,2,4,208,00028,007,U,1,3,01
0100215,04,3,1,1,1,1,1,1,6,1,,208,00028,007,U,1,3,01
0100215,05,3,1,1,1,1,2,1,3,2,3,208,00028,007,U,1,3,01
