,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,ENT,code,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_4
0,3,1,1,1,1,1,1,1,1,1,1000231,1,1,2,2,1,2,1,2,1,1
1,3,1,1,1,1,1,1,6,1,1,1000232,1,2,2,2,1,2,1,2,1,1
2,3,1,1,1,1,1,1,2,1,1,1000233,1,2,1,2,1,1,1,2,1,1
3,3,1,1,1,1,1,2,9,1,1,1000234,1,1,2,2,1,1,1,2,1,1
4,3,1,1,1,1,1,2,3,1,1,1000235,1,2,2,2,1,2,1,2,1,1
5,3,1,1,1,1,1,2,5,1,1,1000291,1,2,2,2,1,2,1,2,2,1
6,3,1,1,1,1,1,1,3,1,1,1000292,1,1,1,2,1,1,1,1,1,1
7,2,1,1,1,2,2,2,5,1,1,1000293,1,1,1,2,1,2,1,2,2,2
8,3,1,1,1,1,1,1,3,1,1,1000295,1,2,2,2,1,2,1,2,1,1
9,3,1,1,1,1,1,2,6,1,1,1000371,1,1,1,2,2,2,1,1,2,1
10,3,1,1,1,1,1,1,2,1,1,1000372,1,1,2,2,1,2,2,2,2,2
11,3,1,1,1,1,1,1,8,2,1,1000373,1,1,2,2,1,2,1,1,2,1
12,3,1,1,1,1,1,1,8,2,1,1000373,2,1,2,1,1,2,1,2,1,1
13,3,1,1,1,1,1,1,6,1,1,1000374,1,1,1,2,1,1,1,1,1,1
14,2,1,1,1,2,2,1,1,1,1,1000381,1,1,2,2,1,2,1,2,2,2
15,3,1,1,1,1,1,2,2,1,1,1000382,1,1,2,2,1,2,1,2,1,1
16,2,1,1,1,1,1,2,2,1,1,1000383,1,1,1,2,1,2,1,2,1,1
17,2,1,1,1,1,1,1,4,1,1,1000384,1,1,2,2,1,2,1,2,2,2
18,3,1,1,1,1,1,1,4,1,1,1000385,1,1,2,2,1,1,1,2,1,1
19,3,1,1,1,1,1,1,5,1,1,1000443,1,1,1,2,1,1,1,1,1,1
20,3,1,1,1,1,1,2,1,1,1,1000445,1,1,1,2,1,2,2,2,2,2
21,2,1,1,1,1,1,1,3,1,1,1000561,1,1,2,2,1,2,1,2,1,1
22,3,1,1,1,1,1,1,2,1,1,1000562,1,1,2,2,1,2,1,2,1,1
23,3,1,1,1,1,1,1,4,1,1,1000563,1,1,2,2,1,1,1,2,1,1
24,3,1,1,1,1,1,2,2,1,1,1000564,1,2,2,2,2,2,2,2,2,2
25,3,1,1,1,1,1,2,5,1,1,1000565,1,1,2,2,1,2,1,2,1,1
26,3,1,1,1,1,1,1,4,1,1,1000671,1,2,2,1,1,1,1,1,1,1
27,3,1,1,1,1,1,1,6,1,1,1000672,1,2,2,1,1,2,1,2,2,1
28,3,1,1,1,1,1,1,3,1,1,1000673,1,1,2,2,1,2,1,2,2,1
29,3,1,1,1,1,1,1,1,1,1,1000674,1,2,2,2,1,1,1,2,1,1
30,3,1,1,1,1,1,1,2,1,1,1000675,1,1,1,1,1,2,1,2,2,1
31,3,1,1,1,1,1,1,3,1,1,1000701,1,1,1,2,1,2,1,2,1,1
32,3,1,1,1,1,1,1,4,1,1,1000702,1,1,2,2,1,1,1,2,2,1
33,3,1,1,1,1,1,1,4,1,1,1000703,1,1,1,2,1,2,1,2,2,2
34,3,1,1,1,1,1,1,4,1,1,1000704,1,1,2,2,1,1,1,2,1,1
35,3,1,1,1,1,1,1,4,1,1,1000705,1,1,1,2,2,2,1,2,1,1
36,3,1,1,1,1,1,2,4,1,1,1000751,1,1,1,2,1,1,1,2,2,1
37,3,1,1,1,1,1,2,9,1,1,1000753,1,1,1,2,1,1,1,1,2,1
38,3,1,1,1,1,1,2,1,1,1,1000754,1,1,1,2,2,2,1,2,2,2
39,2,1,1,1,1,1,1,4,1,1,1000755,1,1,2,2,1,1,1,2,2,2
40,3,1,1,1,1,1,2,1,1,1,1000781,1,2,2,2,1,2,1,2,2,2
41,3,1,1,1,1,1,2,6,1,1,1000782,1,1,1,2,1,2,1,1,1,1
42,2,1,1,1,2,2,2,4,1,1,1000783,1,1,1,2,2,2,1,2,2,2
43,3,1,1,1,1,1,1,4,1,1,1000931,1,1,2,1,1,1,1,1,1,1
44,3,1,1,1,1,1,1,2,1,1,1000932,1,1,1,1,2,2,1,2,1,1
45,3,1,1,1,1,1,1,2,1,1,1000934,1,1,1,2,2,2,2,2,2,1
46,3,1,1,1,1,1,2,5,1,1,1000935,1,2,1,2,1,2,1,2,1,1
47,3,1,1,1,1,1,2,3,1,1,1000941,1,1,1,2,1,2,2,2,2,1
48,3,1,1,1,1,1,2,2,1,1,1000942,1,1,2,2,1,2,1,2,2,1
49,3,1,1,1,1,2,1,3,1,1,1000943,1,1,2,2,1,2,1,2,2,1
50,3,1,1,1,1,1,1,4,1,1,1000944,1,1,1,2,1,1,1,1,1,1
51,2,1,1,1,1,1,1,2,1,1,1000945,1,1,2,2,1,2,1,2,1,1
52,2,1,1,1,1,1,2,1,1,1,1000992,1,1,1,2,1,2,1,2,2,1
53,3,1,1,1,2,2,2,1,1,1,1000993,1,1,1,1,2,2,1,2,2,2
54,3,1,1,1,1,1,1,3,1,1,1000995,1,1,2,2,1,1,1,2,1,1
55,3,1,1,1,1,1,1,4,1,1,1001121,1,1,2,2,1,2,1,1,2,1
56,3,1,1,1,1,1,2,6,1,1,1001122,1,1,2,2,1,1,1,2,1,1
57,3,1,1,1,1,1,2,2,1,1,1001123,1,1,1,1,1,2,1,2,2,2
58,3,1,1,1,1,1,1,4,1,1,1001124,1,1,2,2,1,1,1,2,1,1
59,3,1,1,1,1,1,1,1,1,1,1001125,1,1,2,2,1,1,1,2,1,1
60,2,2,1,1,2,2,2,2,1,1,1001281,1,1,2,2,2,2,2,2,2,2
61,3,1,1,1,1,1,1,4,1,1,1001282,1,1,2,2,1,1,1,2,1,1
62,3,1,1,1,1,1,2,8,1,1,1001283,1,1,2,1,1,2,1,1,1,1
63,3,1,1,1,1,1,1,6,1,1,1001285,1,1,2,2,1,2,1,2,2,2
64,3,1,1,1,1,1,1,5,1,1,1001301,1,1,2,2,1,1,1,2,1,1
65,3,1,1,1,1,1,1,3,1,1,1001302,1,1,2,2,1,2,1,2,2,1
66,3,1,1,1,1,1,1,3,1,1,1001303,1,1,2,2,1,2,1,2,2,2
67,3,1,1,1,1,1,1,3,1,1,1001304,1,1,2,2,1,2,1,2,1,1
68,3,1,1,1,1,1,2,2,1,1,1001305,1,1,2,2,1,2,1,2,2,1
69,3,1,1,1,1,1,2,1,1,1,1001481,1,1,2,2,1,2,2,2,2,2
70,3,1,1,1,1,2,1,3,1,1,1001482,1,1,1,1,1,1,1,2,1,1
71,3,1,1,1,1,1,2,2,1,1,1001483,1,1,2,2,1,2,1,2,2,1
72,3,1,1,1,1,1,2,3,1,1,1001484,1,1,2,2,1,2,1,2,2,1
73,3,1,1,1,1,1,1,3,1,1,1001521,1,1,2,2,1,2,1,2,1,1
74,3,1,1,1,1,1,1,4,1,1,1001522,1,2,2,2,1,1,1,2,1,1
75,3,1,1,1,1,1,1,1,1,1,1001523,1,2,2,2,1,2,1,2,1,1
76,3,1,1,1,1,1,1,2,1,1,1001524,1,1,2,2,1,2,1,2,1,1
77,3,1,1,1,1,1,1,3,1,1,1001525,1,2,2,2,1,2,1,1,2,1
78,3,1,1,1,1,1,2,1,1,1,1001612,1,1,2,2,1,2,1,1,1,1
79,3,1,1,1,1,1,2,2,1,1,1001613,1,2,2,2,1,1,1,1,1,1
80,3,1,1,1,1,1,1,6,1,1,1001614,1,1,2,2,1,2,1,2,2,1
81,2,1,1,1,1,1,2,2,1,1,1001621,1,1,2,2,1,2,1,2,2,2
82,3,1,1,1,1,1,1,5,1,1,1001622,1,1,1,1,1,2,1,1,2,1
